"tree" "sp" "Y" "X" "elev" "fullname" "mlim" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "FL" "N" "E" "S" "W" "seedlings" "NFC" "sBA" "GI" "HF" "GI_II" "HF_II" "FL_inst" "GI_Tor" "HF_Tor" "GI_III" "HF_III" "GI_IV"
"28" "11LDACU1" "Dacu" 5.855083333 117.9483833 42 "Dipterocarpus_acutangulus" 40 90 1 0 0 "0" 0 767.4376 224.5925 NA 5 14 20 6 45 12.3641220473294 80.4131779501345 125.611464061108 632.010829116885 1.39568293401231 7.02234254574317 NA 1.39571633334048 7.1681205119304 0.0137804618699674 0.104908678578114 1.72891692239885
"29" "11LDACU10" "Dacu" 5.8551 117.9489333 32 "Dipterocarpus_acutangulus" 40 67 0 0 1 "0" 0 828.3268 226.538 NA NA NA NA NA NA 41.2553876585057 80.4131779501345 35.3316567604134 333.567923528809 0.527338160603185 4.97862572431058 NA 0.527379472675949 5.11835425696055 0.00478698594394551 0.0739597668450875 1.10760336546335
"30" "11LDACU11" "Dacu" 5.85515 117.9496667 42 "Dipterocarpus_acutangulus" 40 64 0 0 0 "0" 0 909.5145 232.2031 NA NA NA NA NA NA 50.3486877907496 80.4131779501345 12.4176204213422 415.722074110653 0.194025319083471 6.49565740797895 NA 0.194080056716117 6.62363394237576 0.00174645533633979 0.10940909044675 0.319726657840351
"31" "11LDACU2" "Dacu" 5.85515 117.9487833 35 "Dipterocarpus_acutangulus" 40 40 0 0 0 "0" 0 811.7104 232.0378 NA NA NA NA NA NA 35.4149527372067 80.4131779501345 25.8949599797616 187.310001550637 0.647373999494041 4.68275003876591 NA 0.64741177802973 4.81609299020421 0.00605403486396324 0.0697659652337005 1.15541842408351
"32" "11LDACU3" "Dacu" 5.8554 117.9485833 40 "Dipterocarpus_acutangulus" 40 123 1 0 1 "0" 0 789.5211 259.6395 NA 17 11 13 10 51 17.388043947795 80.4131779501345 112.713520581827 1148.76978265794 0.916370086031113 9.33959172892637 NA 0.916399876407157 9.44217009958809 0.0101441301791728 0.14739284446283 1.20499678197559
"33" "11LDACU4" "Dacu" 5.855533333 117.9485 40 "Dipterocarpus_acutangulus" 40 80 1 0 1 "0" 0 780.2738 274.3647 NA NA NA NA NA NA 15.7461191005665 80.4131779501345 115.877999288435 589.840388375859 1.44847499110543 7.37300485469824 NA 1.44850113831947 7.46172118574538 0.0143193557536094 0.116726540982773 1.73032980934118
"34" "11LDACU5" "Dacu" 5.855666667 117.94855 39 "Dipterocarpus_acutangulus" 40 109 1 0 1 "0" 0 785.7846 289.115 NA NA NA NA NA NA 15.7461191005665 80.4131779501345 125.432798105096 795.748377172012 1.15075961564308 7.30044382726617 NA 1.15078353085646 7.37563851603979 0.0129561684674852 0.119997906972296 1.44895599478296
"35" "11LDACU6" "Dacu" 5.855833333 117.9485833 39 "Dipterocarpus_acutangulus" 40 93.2 1 0 0 "0" 0 789.4402 307.5473 NA NA NA NA NA NA 18.7913036974298 80.4131779501345 73.0728121954951 656.418283182159 0.784043049307888 7.04311462641802 NA 0.784063743555036 7.1035974780136 0.00832803174541014 0.126897035063489 1.29662691104272
"36" "11LDACU7" "Dacu" 5.85595 117.9487 37 "Dipterocarpus_acutangulus" 40 100 0 0 1 "0" 0 802.3386 320.4674 NA NA NA NA NA NA 18.2564428783743 80.4131779501345 78.5612709251652 2286.99293723725 0.785612709251652 22.8699293723725 NA 0.785631769644382 22.9205875103642 0.00904935004590876 0.443686780837055 1.12425817084363
"37" "11LDACU8" "Dacu" 5.856083333 117.9487667 38 "Dipterocarpus_acutangulus" 40 57 0 1 0 "0" 0 809.6983 335.2207 NA NA NA NA NA NA 15.8595721105379 80.4131779501345 32.6014873989099 388.857034746352 0.571955919279121 6.82205324116406 NA 0.571972390564092 6.86316172577663 0.00738565894338321 0.132498627653951 1.04651473305541
"38" "11LDACU9" "Dacu" 5.856 117.9488833 33 "Dipterocarpus_acutangulus" 40 61 1 0 0 "0" 0 822.623 326.0295 NA 0 0 0 0 0 37.9827583606029 80.4131779501345 18.9869366481983 316.035303592796 0.31126125652784 5.18090661627535 NA 0.311280566933992 5.22657198670961 0.00318092849714079 0.0906412233325864 0.869367955819966
"39" "12IDacu1" "Dacu" 5.853366667 117.94505 34 "Dipterocarpus_acutangulus" 40 52.7 0 0 0 "0" 0 398.7166 34.1819 NA NA NA NA NA NA 70.7176033353106 80.4131779501345 5.53942288163528 84.7061198444284 0.105112388645831 1.60732675226619 NA 0.105242981560893 2.37187185531151 0.00107762434232702 0.0203319556412359 1.99713366472756
"40" "12IDcau1" "Dacu" 5.8539 117.9439667 20.64351 "Dipterocarpus_acutangulus" 40 53 0 0 0 "0" 0 278.6816 92.9437 NA NA NA NA NA NA 196.454717492626 80.4131779501345 2.21791193940137 162.303729170035 0.0418473950830447 3.06233451264218 NA 0.042045439429636 3.64058952286337 0.000420498146115754 0.0436570875749865 0.0751443221016229
"41" "12JDacu1" "Dacu" 5.853683333 117.9457 29 "Dipterocarpus_acutangulus" 40 77.5 0 0 1 "0" 0 470.6214 69.3125 NA NA NA NA NA NA 25.862698823044 80.4131779501345 31.9946632241186 196.390588899163 0.412834364182176 2.53407211482791 NA 0.412928975753866 3.09030651689539 0.00447985953031265 0.0319316753640994 0.527250183020313
"42" "12JDacu10" "Dacu" 5.854833333 117.9464833 27.79214 "Dipterocarpus_acutangulus" 40 51 0 0 0 "0" 0 557.129 196.5985 NA NA NA NA NA NA 2.60243598573143 80.4131779501345 669.365278599465 829.538685561124 13.1248093843032 16.2654644227671 NA 13.1248608337813 16.474535024351 0.17603786204874 0.220572508662317 13.8789546862796
"43" "12JDacu11" "Dacu" 5.85475 117.9465333 28 "Dipterocarpus_acutangulus" 40 115 1 0 1 "0" 0 562.6802 187.3948 NA NA NA NA NA NA 11.2236050964473 80.4131779501345 192.025074916159 549.09804538735 1.66978326014052 4.77476561206392 NA 1.66983416768916 4.99684138645039 0.0200962689036786 0.0637907673916931 25.1009505446846
"44" "12JDacu12" "Dacu" 5.854733333 117.9465333 28 "Dipterocarpus_acutangulus" 40 77 0 0 1 "0" 0 562.6833 185.5522 NA NA NA NA NA NA 1.8426026077008 80.4131779501345 2726.35015948993 2967.20004312524 35.4071449284407 38.5350654951329 NA 35.4071960441181 38.7600969613176 0.312832332457982 0.356951385713943 36.0633898229493
"45" "12JDacu13" "Dacu" 5.85485 117.9464667 26.98975 "Dipterocarpus_acutangulus" 40 70.4 1 0 1 "0" 0 555.2881 198.438 NA NA NA NA NA NA 9.92738545285401 80.4131779501345 165.341562844089 392.391929232782 2.34860174494445 5.57374899478384 NA 2.34865351353476 5.78050372035893 0.0246343990933019 0.0707545093193452 10.467051550833
"46" "12JDacu14" "Dacu" 5.85335 117.945 35 "Dipterocarpus_acutangulus" 40 62.3 0 0 0 "0" 0 393.184 32.33 NA NA NA NA NA NA 76.4541794149166 80.4131779501345 6.05181134654765 99.7950234584682 0.0971398289975545 1.60184628344251 NA 0.0972735029442651 2.38006224382597 0.000993682539920443 0.0204106072626379 1.70377094235512
"47" "12JDacu2" "Dacu" 5.85345 117.9456833 31 "Dipterocarpus_acutangulus" 40 92 1 1 1 "0" 0 468.8159 43.5129 NA 2 9 4 5 20 13.043696468766 80.4131779501345 69.2033405759082 231.631469336509 0.752210223651177 2.51773336235336 NA 0.752308011798231 3.21426281836529 0.00776558409099287 0.031616472529597 0.97669285920173
"48" "12JDacu3" "Dacu" 5.853366667 117.9457667 31 "Dipterocarpus_acutangulus" 40 99 1 0 0 "0" 0 478.065 34.3155 NA NA NA NA NA NA 13.043696468766 80.4131779501345 71.6758796186235 219.935625712797 0.7239987840265 2.22157197689693 NA 0.724093701535062 2.98258557075179 0.0079243226204894 0.0280764655013682 0.893387963246275
"49" "12JDacu4" "Dacu" 5.853583333 117.9459833 25 "Dipterocarpus_acutangulus" 40 69 1 0 1 "0" 0 502.0052 58.3097 NA NA NA NA NA NA 33.8947607998833 80.4131779501345 23.9207090185211 175.77737228068 0.346676942297407 2.54749814899536 NA 0.346760777785061 3.14620852499218 0.00342304729348344 0.0297950452846556 0.561011763927241
"50" "12JDacu5" "Dacu" 5.8536 117.9465167 34 "Dipterocarpus_acutangulus" 40 120 1 0 0 "0" 0 561.0566 60.2518 NA 10 3 1 0 14 32.2114881052441 80.4131779501345 50.7938258831035 318.866991561652 0.423281882359196 2.65722492968044 NA 0.423345966274111 3.22552424737101 0.00414004207995602 0.0363538096868286 0.871840401826198
"51" "12JDacu6" "Dacu" 5.8541 117.94655 40.04955 "Dipterocarpus_acutangulus" 40 140 1 0 0 "0" 0 564.6502 115.5362 NA NA NA NA NA NA 24.0622982664762 80.4131779501345 90.0303748692236 625.045564333281 0.64307410620874 4.46461117380915 NA 0.64313208485109 4.83706294850614 0.00622652310563719 0.0664934421270781 1.2174913947694
"52" "12JDacu7" "Dacu" 5.854383333 117.9466 34 "Dipterocarpus_acutangulus" 40 95 0 0 1 "0" 0 570.1331 146.8699 NA NA NA NA NA NA 14.3972707094244 80.4131779501345 108.303561681398 657.386758588642 1.14003749138314 6.91986061672255 NA 1.14009068114616 7.21583238159988 0.0115881031195439 0.0929199359284519 5.08755716896792
"53" "12JDacu8" "Dacu" 5.854766667 117.9464333 29 "Dipterocarpus_acutangulus" 40 80 1 0 0 "0" 0 551.6058 189.2188 NA NA NA NA NA NA 9.92738545285401 80.4131779501345 201.315131479562 437.642442112921 2.51643914349452 5.47053052641151 NA 2.51649306725205 5.6920677032747 0.0268627147220514 0.0690938854788184 3.94178551201388
"54" "12JDacu9" "Dacu" 5.85485 117.9463333 21 "Dipterocarpus_acutangulus" 40 105 1 0 1 "0" 0 540.5189 198.4132 NA 22 1 7 4 34 14.4033448534852 80.4131779501345 127.391335616504 2111.78468763244 1.21325081539527 20.1122351203089 NA 1.21330694246166 20.3223504630272 0.0142978597993978 0.35159202440037 1.71213624498493
"55" "12KDacu1" "Dacu" 5.85465 117.9483 33 "Dipterocarpus_acutangulus" 40 120 1 0 0 "0" 0 758.2961 176.6691 NA NA NA NA NA NA 32.2661222047505 80.4131779501345 94.6287094244446 774.697433317781 0.788572578537038 6.45581194431484 NA 0.78861227272879 6.67980102598136 0.00701568367382365 0.0890356640215601 1.56344005492541
"56" "12KDacu10" "Dacu" 5.854366667 117.9478 48 "Dipterocarpus_acutangulus" 40 63 0 0 0 "0" 0 702.9923 145.2514 NA NA NA NA NA NA 11.8074269072586 80.4131779501345 134.728651079033 444.748051821441 2.1385500171275 7.05949288605463 NA 2.13858649120275 7.35076242306627 0.0171324422054665 0.0915659843393145 2.69898736467439
"57" "12KDacu11" "Dacu" 5.854183333 117.94785 43 "Dipterocarpus_acutangulus" 40 120.5 1 0 0 "0" 0 708.5621 124.992 NA NA NA NA NA NA 3.68670538293722 80.4131779501345 792.796863797684 1192.61370670641 6.57922708545796 9.89720918428559 NA 6.57926659296163 10.2413389582943 0.0819521915959762 0.130938390559136 7.41765733914032
"58" "12KDacu12" "Dacu" 5.854183333 117.9478167 42 "Dipterocarpus_acutangulus" 40 75 1 0 1 "0" 0 704.8754 124.9857 NA NA NA NA NA NA 3.68670538293722 80.4131779501345 761.458859702356 999.762960339724 10.1527847960314 13.3301728045297 NA 10.152823810627 13.67396121781 0.0834601249615719 0.130543580960964 11.0837694466209
"59" "12KDacu13" "Dacu" 5.854 117.9482667 29.92828 "Dipterocarpus_acutangulus" 40 110.8 0 0 0 "0" 0 754.7306 104.8012 NA NA NA NA NA NA 33.372502235795 80.4131779501345 63.6208245093966 622.110567430138 0.574195167052316 5.61471631254637 NA 0.57424413139775 6.03103839920013 0.00539786189463929 0.086723175244003 1.78860297760773
"60" "12KDacu14" "Dacu" 5.8537 117.9482333 17.39747 "Dipterocarpus_acutangulus" 40 90.7 1 0 0 "0" 0 751.0888 71.628 NA 0 1 5 1 7 10.4256645932123 80.4131779501345 121.948631472767 364.281432689059 1.34452735912643 4.01633332622997 NA 1.34457961830081 4.57644506780204 0.0122624040074624 0.0509592137875529 2.65528823429376
"61" "12KDacu15" "Dacu" 5.85365 117.9482833 14 "Dipterocarpus_acutangulus" 40 58 0 0 0 "0" 0 756.6338 66.1095 NA NA NA NA NA NA 7.82309831527934 80.4131779501345 140.699583062678 303.637604459949 2.425854880391 5.23513111137843 NA 2.42590879172878 5.82876639191939 0.024957982812647 0.0645786489677229 2.7320031896237
"62" "12KDacu16" "Dacu" 5.853633333 117.9481667 22.31154 "Dipterocarpus_acutangulus" 40 110 1 0 0 "0" 0 743.7277 64.245 NA NA NA NA NA NA 10.4256645932123 80.4131779501345 129.919407669551 431.212098786738 1.18108552426864 3.92010998897034 NA 1.1811372613918 4.51636356409704 0.0123896074627899 0.0525003044737468 1.84573451212404
"63" "12KDacu17" "Dacu" 5.853583333 117.94765 54.95215 "Dipterocarpus_acutangulus" 40 125 1 0 0 "0" 0 686.5314 58.6207 NA NA NA NA NA NA 6.65012490478514 80.4131779501345 409.903218938754 756.490085475309 3.27922575151003 6.05192068380247 NA 3.2792688410028 6.6458377143992 0.0283948832240332 0.0709526588466983 4.19831968416795
"64" "12KDacu18" "Dacu" 5.85355 117.9477 54 "Dipterocarpus_acutangulus" 40 120.3 1 0 1 "0" 0 692.0733 54.9449 NA NA NA NA NA NA 6.65012490478514 80.4131779501345 397.6657937304 720.800494969138 3.30561757049377 5.99169156250322 NA 3.30566179252964 6.60819658363094 0.027477574793932 0.0688139791035149 3.9747384666691
"65" "12KDacu19" "Dacu" 5.853933333 117.9476167 40 "Dipterocarpus_acutangulus" 40 57.9 0 0 0 "0" 0 682.7793 97.3092 NA NA NA NA NA NA 5.8341854178558 80.4131779501345 251.224793090002 715.598604721658 4.33894288583769 12.3592159710131 NA 4.33898187003303 12.7864337227739 0.0389225588406325 0.155987717450503 7.22383829418921
"66" "12KDacu2" "Dacu" 5.85495 117.9480167 43 "Dipterocarpus_acutangulus" 40 129 1 0 1 "0" 0 726.875 209.7831 NA 0 1 0 1 2 35.2450650547921 80.4131779501345 104.583958982153 981.584452915505 0.81072836420274 7.60918180554655 NA 0.810759397522294 7.77801775724757 0.00776936234676322 0.119145774450597 1.56989283036896
"67" "12KDacu20" "Dacu" 5.853816667 117.9475167 49.38723 "Dipterocarpus_acutangulus" 40 100.5 0 0 0 "0" 0 671.7297 84.3924 NA NA NA NA NA NA 5.82890119656843 80.4131779501345 421.480320147972 1056.04183362388 4.1938340313231 10.5078789415312 NA 4.19387279955042 10.9806458820696 0.0476558778660325 0.167417226597738 6.59720498493726
"68" "12KDacu21" "Dacu" 5.853966667 117.94755 39 "Dipterocarpus_acutangulus" 40 60.1 0 0 0 "0" 0 675.3885 100.9821 NA NA NA NA NA NA 5.82885829134722 80.4131779501345 261.177975796303 588.798205077884 4.34572339095346 9.79697512608792 NA 4.34576107622049 10.2105707485668 0.0390733277409686 0.120274086611063 8.01736130977564
"69" "12KDacu22" "Dacu" 5.85405 117.9476 32 "Dipterocarpus_acutangulus" 40 61.5 0 0 0 "0" 0 680.9086 110.2044 NA NA NA NA NA NA 15.1948276805852 80.4131779501345 90.1927267391508 279.583411248695 1.46654840226261 4.54607172762106 NA 1.46658587886829 4.93082486055687 0.0134531975664922 0.0597308260238173 6.60871579001673
"70" "12KDacu23" "Dacu" 5.8539 117.9474667 44 "Dipterocarpus_acutangulus" 40 128.4 0 0 0 "0" 0 666.1785 93.5961 NA NA NA NA NA NA 11.2237116223157 80.4131779501345 312.871786249912 812.121304014711 2.43669615459433 6.32493227425788 NA 2.43673338704326 6.7625786554435 0.0246606695993438 0.0883868655594754 5.11052121654846
"71" "12KDacu24" "Dacu" 5.854083333 117.9476333 30 "Dipterocarpus_acutangulus" 40 90.2 0 0 0 "0" 0 684.5892 113.8958 NA NA NA NA NA NA 19.8465471133698 80.4131779501345 126.232980626377 386.240961893722 1.39947872091327 4.28205057531842 NA 1.39951628871959 4.65597189773666 0.0127604333597186 0.0559646890859689 4.91161941648475
"72" "12KDacu25" "Dacu" 5.853916667 117.9475667 42.32034 "Dipterocarpus_acutangulus" 40 115 1 0 0 "0" 0 677.2468 95.4574 NA NA NA NA NA NA 18.1534638812223 80.4131779501345 122.712637979613 1675.37996177693 1.06706641721402 14.568521406756 NA 1.06710486480315 15.0012901531904 0.0110070488395853 0.207216907624738 7.31465254414038
"73" "12KDacu26" "Dacu" 5.85365 117.9475333 54 "Dipterocarpus_acutangulus" 40 57.5 0 0 0 "0" 0 673.5987 65.9694 NA NA NA NA NA NA 13.4148193413069 80.4131779501345 107.194357667878 294.453205332924 1.86424969857179 5.12092531013782 NA 1.86429034879526 5.67328368259752 0.0182733445150392 0.0700881106555288 2.96123228900701
"74" "12KDacu27" "Dacu" 5.853766667 117.9475 53 "Dipterocarpus_acutangulus" 40 78 1 0 0 "0" 0 669.8901 78.8614 NA NA NA NA NA NA 12.3746103372747 80.4131779501345 122.544465028563 504.948913291327 1.57108288498158 6.47370401655548 NA 1.57112191376059 6.96821699849974 0.0154957983946434 0.102060193265393 6.29427302652212
"75" "12KDacu28" "Dacu" 5.853816667 117.9474 50.54628 "Dipterocarpus_acutangulus" 40 85 1 0 0 "0" 0 658.8095 84.3706 NA 0 1 0 0 1 12.3746103372747 80.4131779501345 110.191524708003 1078.26654422054 1.29637087891768 12.6854887555358 NA 1.29640803304354 13.1560037844064 0.0136186740509597 0.245085310275001 3.9837537406785
