"tree" "sp" "Xm" "Ym" "DBH" "GI" "LGI" "ABN" "sBA" "sBA50" "HFI" "LHFI" "LSD" "FL" "AC" "sAC" "elev" "H" "S" "J" "Ha" "dist" "Ht" "Fsize" "Fcpo" "seedlings"
"138" "10NDcau2" "Dcau" 1191.2929 551.4528 87.5 2.04868557648783 1.11471053920142 181 874.943811324771 826.0616192366 2.88997215559825 1.35840199966084 0.143994859524188 NA 0.486341139191114 0.356295233963439 9 1.35220939923383 5 1.23083403779614 9.58857876885399 0 1.90803683450907 86.5245592540071 87.4807714888395 0
"146" "10PDcau3" "Dcau" 1600.1554 571.6795 74 2.10512074949463 1.13305260335542 181 874.943811324771 826.0616192366 2.41741695739999 1.22888499009615 0.109905533086001 NA 0.406680733706553 0.334165618441979 7 1.5193826646423 6 1.38300170161423 10.6622375579145 0 2.21212934223405 87.0551312606188 73.9844672549455 3
"150" "10QDcau1" "Dcau" 1804.1531 404.4717 95 1.47927267456008 0.907965240775896 181 874.943811324771 826.0616192366 1.93103420590805 1.07535533204894 0.0774781063741003 NA 0.415243509964972 0.409600414452567 9 1.66746193342929 6 2.40563906222957 10.2814494376196 0 1.71474311583251 87.0620296538224 94.9823734426713 0
"164" "11IDCAU3" "Dcau" 283.9757 236.6763 120 5.78913137454378 1.91532300622136 181 874.943811324771 826.0616192366 2.78293056105206 1.33049898995826 0.227004979995416 NA 0.472955957823879 0.301855818957626 16 1.31078367809971 4 1.19312672142857 8.49567154960775 0 1.74332404322263 84.5353203610415 119.995899024852 7
"177" "11JDCAU7" "Dcau" 536.6024 334.7599 45.7 2.83697227597137 1.34468358579471 181 874.943811324771 826.0616192366 7.83145841342028 2.17832016671027 0.451057132850385 NA 0.534000355396908 0.392140546961318 20 1.93380999892063 8 1.39494904773214 14.7214225173908 0 2.35502432245752 84.8529217371763 45.6970091537311 0
"178" "11KDCAU1" "Dcau" 743.2735 333.266 58 1.77196877251711 1.01955781593848 181 874.943811324771 826.0616192366 4.7911136355084 1.7563246108293 0.249939813905331 NA 0.623502743905191 0.435710953546267 26 1.94591014905531 8 1.77124374916142 14.1462460900601 0 2.408256760247 85.2938053341216 57.9921955100986 0
"180" "11NDcau1" "Dcau" 1252.4758 380.1933 130 3.02394239919417 1.39226211837942 181 874.943811324771 826.0616192366 3.62420197997617 1.53130381120679 0.208913852468102 NA 0.495185355904856 0.296322910852253 8.56986 1.89378823239114 8 2.73215889136457 14.3978129613546 0 2.26093685638059 86.4430266532662 129.998101004229 9
"192" "11ODcau2" "Dcau" 1449.0502 235.3289 65.4 0.981407061231882 0.683807229309341 181 874.943811324771 826.0616192366 3.38378505243343 1.47791251843308 0.0955146379003419 NA 0.642816637373137 0.315093878943407 8 1.55711309805765 5 1.41734542214651 12.2016392303531 0 1.87116041423181 86.5252652177916 65.3889501225159 1
"194" "12HDcau1" "Dcau" 199.2467 144.4034 100 2.43186383578663 1.2331035059513 181 874.943811324771 826.0616192366 1.81038162267947 1.03332028290721 0.0895828633540437 NA 0.384091510417401 0.298483455860019 17 1.38629436111989 4 Inf 9.0993131386361 0 2.09635257946414 84.4607855638501 99.9858011900648 6
"196" "12LDcau1" "Dcau" 791.6781 77.2243 120 9.65398397370821 2.36593390424252 181 874.943811324771 826.0616192366 3.80697175962172 1.57006731404991 0.415809826655606 NA 0.540554003939942 0.380781684676613 6 1.81848316301237 7 1.6552547079343 12.928932328992 0 2.33252882204525 85.3223544122297 119.995588329194 0
"209" "8HDcau6" "Dcau" 181.3581 907.2144 94 38.9440655076455 3.68748011318408 181 874.943811324771 826.0616192366 3.64790151738211 1.53641583115433 0.56999876356964 NA 0.737764860107673 0.513950949530459 24 1.83788157976828 8 1.32575132043644 13.7199261355408 0 1.92963241316944 84.8994237508804 93.9826738656665 0
"216" "8JDcau1" "Dcau" 476.7954 787.9419 85 7.72525981368275 2.16622224571765 181 874.943811324771 826.0616192366 4.1225860273035 1.63365939499742 0.340849797384091 NA 0.658043729785735 0.533504468571171 16 1.41427906512471 5 1.28733228247364 11.969377166966 0 1.63043258262889 85.1789033869066 84.9807267359789 0
"243" "8LDCAU7" "Dcau" 939.9473 783.1964 116.4 15.8128164490469 2.82214147943306 181 874.943811324771 826.0616192366 5.78770906766453 1.91511348665155 0.542981386072182 NA 0.656232030926731 0.424859606006849 14 2.09472904752765 11 1.5110276044371 14.9012326281573 0 2.20339900811406 86.2771351323162 116.393580277264 0
"246" "8MDcau1" "Dcau" 1135.424 853.5471 65 1.63612466741091 0.969309909683881 181 874.943811324771 826.0616192366 5.68703750150318 1.90017095117682 0.216479670783423 NA 0.535990848536919 0.380865668850405 22 1.8288411561742 8 1.66468295961933 13.0771511793581 0 2.08199649603791 86.7413007825371 64.9891830577077 1
"250" "8ODcau1" "Dcau" 1456.3611 929.6397 110 4.52079453453308 1.70852178734642 181 874.943811324771 826.0616192366 2.06227332826813 1.1191575578722 0.13331043426154 NA 0.542607981631154 0.408098362831015 21.82285 1.64173471218752 6 1.494371334748 10.2637584239949 0 2.14184750693914 87.3791006605966 109.989771949839 0
"251" "8PDcau1" "Dcau" 1517.2643 922.9871 95.8 4.55641609695362 1.71495331354821 181 874.943811324771 826.0616192366 2.64994864061102 1.29471309642993 0.209877727320956 NA 0.531080566639012 0.409680465791842 19 1.38629436111989 5 2 9.22780809525717 0 2.06111283257959 87.4429393317496 95.7824229587435 0
"263" "8QDcau6" "Dcau" 1858.697 880.5749 115 18.3363752654182 2.9619880508162 181 874.943811324771 826.0616192366 1.23731748029385 0.805277594786583 0.153271268219674 NA 0.637806629598609 0.475323926163034 13 1.56071040904141 5 2.25162916738782 9.39356533099537 0 1.42706104338072 87.7225834786815 114.992441481839 0
"268" "9HDcau02" "Dcau" 196.3576 763.5159 120 28.430458792349 3.38203015139839 181 874.943811324771 826.0616192366 3.55158983997304 1.51547658731021 0.499667670663596 NA 0.736347161027671 0.437991218394047 27.12137 1.76231471083667 6 1.60412797946507 11.9973792352344 0 1.94154136802028 84.7782612194575 119.995788384761 0
"280" "9JDcau6" "Dcau" 471.4027 703.1727 66 5.25961328910759 1.83411840830092 181 874.943811324771 826.0616192366 3.91901345577227 1.59310799327851 0.30116306145109 NA 0.673575247158404 0.505374677320806 17 2.01016265863961 9 1.45002584949977 14.2330767293212 0 1.97872306394544 85.0649376540157 65.987589136823 0
"285" "9KDcau5" "Dcau" 678.0677 697.9934 90 35.6746486832138 3.60208574479336 181 874.943811324771 826.0616192366 5.0865600083789 1.80608306307775 0.683459098806479 NA 0.743870098418982 0.550840045821116 24 1.81384021948849 8 1.12700229407747 12.457366647997 0 2.05791559936995 85.5107594000378 89.9811630848413 0
"289" "9LDCAU4" "Dcau" 818.2946 705.6008 90 7.49677417268573 2.13968658236867 181 874.943811324771 826.0616192366 5.79765802226656 1.91657814436962 0.461164624064116 NA 0.659354082581545 0.497423252119602 19 1.83102048111352 8 1.3208020839343 14.759942893353 0 1.86142517796796 85.888288458098 89.9810929481316 0
"294" "9QDcau1" "Dcau" 1846.2204 620.7442 75 14.5442265856816 2.74368928901995 181 874.943811324771 826.0616192366 2.13523980216494 1.14270566307817 0.225836186742881 NA 0.539789419069302 0.423522533425605 8 1.27703425946614 4 1.16240667671243 10.2157739767779 0 1.59342423717389 87.3520841784622 74.9842249295368 0
"299" "10MDcon1" "Dcon" 1001.2136 562.1863 110 3.13187912635476 1.41873229776919 68 506.509472366524 498.318130805443 4.9001622353708 1.7749798480541 0.252236779081247 NA 0.476955529982729 0.593465920644237 36 1.92739212613927 8 1.39031953111478 15.5763746445502 0 2.14688456657009 106.679850802346 109.981102315869 3
"301" "10NDcon1" "Dcon" 1302.0151 546.1128 90 201.697180687383 5.31171314456687 68 506.509472366524 498.318130805443 3.27157476503229 1.45198255668293 0.754114864927134 NA 0.540395045268348 0.58483065375481 37 2.29311860148681 11 2.08728650238097 15.7304775477076 0 2.3169189496302 106.99229481467 89.9865722227883 0
"305" "10PDcon3" "Dcon" 1614.727 466.6751 64.5 1.43421602662405 0.889624744375537 68 506.509472366524 498.318130805443 2.78357581288197 1.33066954471618 0.103679952124679 NA 0.484210648637668 0.471651360258381 10 1.32966134885476 4 1.91829583405449 11.3972474989003 0 1.95646320382668 107.191340672289 64.498017419283 0
"306" "11HDCON1" "Dcon" 38.5457 243.6347 96 1.44883680707477 0.895613139193886 68 506.509472366524 498.318130805443 9.41951740385155 2.34368072084304 0.391225152742723 NA 0.546895184223384 0.463978257644432 27.41343 1.66746193342929 6 2.40563906222957 13.413457627909 0 1.97224697942344 105.111775425208 95.9831243540314 8
"307" "11HDCON2" "Dcon" 110.4133 300.8761 84.4 1.49255252270818 0.913307294932011 68 506.509472366524 498.318130805443 3.52857957456219 1.51040833062553 0.128056189173303 NA 0.545895591129937 0.475186088762691 31.13407 1.5990147122063 6 2.30689059560852 12.1799217121598 0 2.19657437548298 105.178604135662 84.3891267951525 5
"310" "11JDCON1" "Dcon" 525.5373 331.056 58.7 3.15696704974486 1.42478573378849 68 506.509472366524 498.318130805443 7.97710499643387 2.19467744686677 0.416977390896996 NA 0.539915206205772 0.598190381364673 25 1.74786809746676 7 1.59097810528386 14.4889949401266 0 2.39527417967018 106.071850977326 58.6988239648386 0
"312" "11KDCON2" "Dcon" 621.542 301.736 120 17.1303700069267 2.89758843310383 68 506.509472366524 498.318130805443 4.4326995490944 1.69243616493483 0.514761099966884 NA 0.612937056503902 0.608939999961984 24 2.16012981083637 10 1.34216411465628 14.65574977459 0 2.32898251893848 106.382235999482 119.984815971957 20
"314" "11KDCON4" "Dcon" 682.3347 360.8023 140 24.8318919239263 3.25160984964133 68 506.509472366524 498.318130805443 3.04372176075237 1.39716549581205 0.415668116886158 NA 0.555264654544489 0.611637582088964 20 2.04319187054512 8 2.94770277922009 12.1465038512066 0 2.00543652903503 106.466338391424 139.995228233584 22
"316" "11LDCON1" "Dcon" 857.6484 348.2001 136 10.7027105373973 2.45982048483541 68 506.509472366524 498.318130805443 5.20855949051897 1.82592890293708 0.589062338193658 NA 0.671901456072476 0.603146359318556 38 1.84298952522011 9 1.32943592422268 13.5201546716684 0 2.13713118924396 106.917233146829 135.993222356224 1
"319" "11NDcon1" "Dcon" 1302.2717 395.0188 65.4 2.77775917793637 1.32913102378039 68 506.509472366524 498.318130805443 3.35647366596718 1.4716629379027 0.173134057889263 NA 0.521706091086826 0.594686349844833 19 1.89892678933633 8 1.72847765214648 13.4448559643979 0 2.25810443080275 107.330651837643 65.3977927768151 2
"320" "11NDcon2" "Dcon" 1274.8842 223.609 124 5.89415656691465 1.93067417844234 68 506.509472366524 498.318130805443 2.08709674002832 1.12723108290665 0.167158136525174 NA 0.486047034054254 0.590605773824123 6 1.56071040904141 5 2.25162916738782 10.8099079701122 0 2.32339682278312 107.684911722805 123.986193587066 8
"322" "11NDcon4" "Dcon" 1175.0828 317.4131 119.5 4.5675269390597 1.71695095876538 68 506.509472366524 498.318130805443 3.15732193238518 1.42487110071314 0.246454630235202 NA 0.550211651120859 0.59637431812446 12 1.62861983033282 7 1.17480087635729 11.0276485199576 0 1.9552978428424 107.431697566417 119.483963490731 0
"325" "11PDcon3" "Dcon" 1526.5572 231.0384 140 19.4710353931083 3.01901097939589 68 506.509472366524 498.318130805443 3.0560240953388 1.40020320693662 0.357379495819235 NA 0.651569778156204 0.541122100164056 15 1.67311836264325 7 1.52293796446755 11.5352826105062 0 1.6442107102094 107.660310776612 139.99476347751 76
"326" "11QDcon1" "Dcon" 1742.8659 272.3129 86 1.90136235473922 1.06518040417781 68 506.509472366524 498.318130805443 7.71403022164499 2.16493439586057 0.531597416459274 NA 0.622412529326135 0.452052234094032 31 1.12827984805903 6 1.0270045763159 10.6093046055495 0 1.40128001405995 107.50298592491 85.9893454908747 2
"328" "12JDcon1" "Dcon" 513.0641 65.6988 120 2.87302113869184 1.35403485848102 68 506.509472366524 498.318130805443 2.36166289766763 1.21243576156767 0.139867344813031 NA 0.537903931895825 0.514064970574212 22 1.2130075659799 4 1.10412706875005 10.7885707981173 0 1.85942881514923 106.38390360684 119.984906457986 25
"332" "12JDcon5" "Dcon" 422.488 165.0474 90 2.34122749469268 1.20633825285315 68 506.509472366524 498.318130805443 7.01217610884877 2.08096239819714 0.250765017794452 NA 0.559262376684511 0.524725987553011 34 1.6681739719974 7 1.51843738614993 12.6751610988228 0 2.01134391665638 106.010005718598 89.9862039926323 3
"333" "12KDcon1" "Dcon" 612.4546 215.1179 85 3261.19388555446 8.09015521904627 68 506.509472366524 498.318130805443 8.4597513759863 2.24704610111021 3.20538234164028 NA 0.716871807326439 0.597301547894387 37 1.97347185431817 10 1.22618700545801 16.7139947579461 0 2.13634736341786 106.47649987161 84.989213753052 6
"337" "12MDcon1" "Dcon" 1046.1041 204.795 170 4.47973179829574 1.70105615784539 68 506.509472366524 498.318130805443 2.96410527010536 1.37728017265028 0.236590741132971 NA 0.669649071929627 0.576811373824016 19 1.50478828368119 5 1.36971732357509 11.5905866951239 0 1.89055701139157 107.513399693855 169.999842069757 5
"339" "12NDcon1" "Dcon" 1288.7878 74.7491 100 6.48693197081689 2.01315909689992 68 506.509472366524 498.318130805443 2.64643893329269 1.29375105663874 0.191049674857995 NA 0.562371614519431 0.58343079893209 7 1.74786809746676 7 1.59097810528386 11.6882704579412 0 2.2274376530947 107.917489983733 99.9823147254695 1
"342" "12ODcon3" "Dcon" 1484.768 136.7482 120 14.6066538444021 2.74769735180539 68 506.509472366524 498.318130805443 3.27579121258461 1.45296916423089 0.323409596961589 NA 0.591165318873115 0.562083578533958 11 1.46813993901621 5 1.05903910467485 11.2474637822368 0 2.11430813095153 107.831932352308 119.984110623598 0
"349" "12PDcon5" "Dcon" 1638.4807 170.791 110 5.01142161070212 1.79366126145795 68 506.509472366524 498.318130805443 3.13789450071113 1.42018708376179 0.221059275281678 NA 0.598470920265962 0.496674933327696 27 2.06111283257959 9 1.8761057507179 13.2502204345981 0 2.3409508144607 107.713841931337 109.981091032192 0
"355" "9MDcon2" "Dcon" 960.3813 700.3133 117 2.72743175416629 1.31571945874771 68 506.509472366524 498.318130805443 4.70959818986128 1.74214865164043 0.231782007479503 NA 0.663399230645741 0.596653323067541 30 1.97959621536133 10 1.80190612810391 15.9152224063088 0 2.28732793469359 106.310732610523 116.983396423836 6
"358" "9NDcon1" "Dcon" 1115.3288 730.0577 63.8 5.66632906847157 1.89706934387438 68 506.509472366524 498.318130805443 3.66839158540019 1.54081459809539 0.256434678064302 NA 0.528847707858834 0.584443610011336 29 1.83517103217954 8 1.32379607365425 12.7212892952671 0 2.24398541163318 106.402203922159 63.7979596870591 3
"361" "9ODcon2" "Dcon" 1462.367 653.2572 110 10.0227858597887 2.39996457211995 68 506.509472366524 498.318130805443 3.86006318416892 1.58105143868569 0.335616950708205 NA 0.518488679373673 0.523176634366372 24.14278 1.51570795208571 5 1.37965683409865 12.7929166500321 0 2.24679920516549 106.855460588192 109.981143249622 4
"364" "9ODcon5" "Dcon" 1451.1233 754.5821 80 4.52129589130538 1.70861259565414 68 506.509472366524 498.318130805443 2.83099519374101 1.34312461114738 0.164678966856914 NA 0.56942178015714 0.514798424892665 31 2.14584175259475 9 3.09579525500093 14.5597026262216 0 2.2744747270983 106.669173134297 79.9921075903075 2
"368" "10MDgra2" "Dgra" 1102.96 411.2643 65 2.40430727229412 1.22504147464371 81 370.940732993208 347.565100243606 4.31161926634683 1.66989673534841 0.307914311900047 NA 0.596490017506134 0.509180321001906 29 1.31068655536796 6 1.19303831650833 8.71512889463245 0 1.78251719341758 79.5611991809543 64.9851714158207 29
"371" "10NDgra1" "Dgra" 1276.2091 525.8003 58.6 0.936424753955351 0.660843362494439 81 370.940732993208 347.565100243606 3.59397752390629 1.5247462117661 0.0854579992450929 NA 0.533293808059066 0.567542360021085 30 2.39470040585833 12 2.17975024543146 16.198353549419 0 2.40393081277424 78.9228119514323 58.588399022353 15
"372" "11KDGRA1" "Dgra" 638.2733 228.0598 121 52.4110252281715 3.97801718960223 81 370.940732993208 347.565100243606 5.07691507358348 1.80449717799937 0.808993962272974 NA 0.729037419093381 0.707124749042592 41 1.89261576186689 9 1.36523368697682 13.7283981867531 0 1.91370388928397 81.4750056514628 120.997267635465 27
"373" "11LDGRA1" "Dgra" 769.2305 257.7626 71.2 20.4284374221656 3.06471889138912 81 370.940732993208 347.565100243606 7.82844422361135 2.17797880697572 1.10994000306537 NA 0.774915249796224 0.661481865013904 42 1.19733704035524 5 0.743947331614925 9.38494016388895 0 1.39350312464647 80.9894055551075 71.1830393938543 46
"377" "11LDGRA6" "Dgra" 863.3118 272.6625 88.4 131.311733643071 4.88516075685617 81 370.940732993208 347.565100243606 8.24222735955733 2.22378291283336 1.5435067001378 NA 0.744737359589027 0.610127574513467 45.0513 0.793730055158425 4 1.14511041438158 7.92357817313655 0 1.19044757102892 80.5950049717756 88.3822263031491 13
"385" "11MDgra6" "Dgra" 1047.7502 324.5677 57.5 3.61725666117534 1.52980073244442 81 370.940732993208 347.565100243606 3.84824000683065 1.57861575390107 0.304609668209772 NA 0.699474024584039 0.53084382185219 16.50402 1.29975203234227 7 1.18308528472588 9.3619782550178 0 1.77607414165364 79.7967364776804 57.4895355282459 5
"389" "11QDgra1" "Dgra" 1727.4465 302.9969 40 8.08149306318988 2.20623861336738 81 370.940732993208 347.565100243606 7.57428382314485 2.1487674703973 0.88875170600804 NA 0.602859294372795 0.801434328297658 17.34809 1.4354735656252 8 1.30662434821795 10.9474912169305 0 2.00789642959807 77.5267220974786 39.9965310412088 3
"396" "11QDgra7" "Dgra" 1838.1966 281.6885 76.5 23.4161202731238 3.19524358108614 81 370.940732993208 347.565100243606 4.54471695541877 1.71284557448935 0.796899141955206 NA 0.640309388437517 0.810786696859334 38.12277 0.784348970071057 5 0.56578818472394 5.33899802487218 0 0.907213530060721 77.2722927340096 76.4807883745228 14
"399" "12JDgra1" "Dgra" 566.4402 150.5489 79 3.23554981536104 1.44351314620882 81 370.940732993208 347.565100243606 3.73073107960465 1.5540797528446 0.261407300076793 NA 0.640900472519013 0.727679932948752 34 1.51749809498804 6 1.38128629238961 11.6324707651649 0 1.7683497721514 81.7075234744748 78.981212180951 7
"400" "12KDgra1" "Dgra" 643.8369 211.4857 121 52.7450302670176 3.98425120258456 81 370.940732993208 347.565100243606 9.53615926988371 2.35481308105828 1.26662546073395 NA 0.730492566075929 0.711682043006282 43 1.77911522756182 9 1.10542644349113 13.2355548129536 0 1.72507606277033 81.4586071103019 120.997269468222 0
