"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife" "seedlings" "Sum_FF2" "Sum_FF3"
"19" "11KDACU23" "Dacu" "Subcanopy" 5.855683333 117.9481 604957.6758 647340.133 604653.6368 647279.448 27.91765 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120 1 0 1 "0" 0 735.9605 290.8734 113.762853838878 6 10 8 16 14400.0029378904 40 0.948023781990651 0.0115688349258186
"20" "11KDACU24" "Dacu" "Subcanopy" 5.8558 117.9482667 604976.1099 647353.0625 604672.0709 647292.3775 27 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 57.6 1 0 0 "0" 0 754.3946 303.8029 50.0935265199627 NA NA NA NA 3317.76115250046 0 0.869679279860464 0.00890684077707801
"21" "11KDACU3" "Dacu" "Subcanopy" 5.855183333 117.9469167 604826.7622 647284.6338 604522.7232 647223.9488 36 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 0 0 0 "0" 0 605.0469 235.3742 309.974213966684 NA NA NA NA 31.3848508222045 0 3.09974213966684 0.0417612710232549
"22" "11KDACU4" "Dacu" "Subcanopy" 5.855033333 117.9468667 604821.2545 647268.0409 604517.2155 647207.3559 31 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 81.4 1 0 1 "0" 0 599.5392 218.7813 2023.26084693554 NA NA NA NA 8440.83929521831 0 24.8557843603875 0.313243261095389
"23" "11KDACU5" "Dacu" "Subcanopy" 5.855166667 117.9469833 604834.1388 647282.8036 604530.0998 647222.1186 38 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 56.2 1 0 0 "0" 0 612.4235 233.544 138.52416186671 6 3 2 5 3162.34251277419 16 2.46484273784181 0.0265275074995053
"24" "11KDACU6" "Dacu" "Subcanopy" 5.85525 117.94705 604841.5079 647292.0291 604537.4689 647231.3441 38 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 140 1 0 1 "0" 0 619.7926 242.7695 186.89139684621 NA NA NA NA 19602.1966714244 0 1.3349385489015 0.0174034529894539
"25" "11KDACU7" "Dacu" "Subcanopy" 5.8554 117.94685 604819.3373 647308.5752 604515.2983 647247.8902 32.30812 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 1 1 1 "0" 0 597.622 259.3156 202.214317839768 NA NA NA NA 10002.9556185769 0 2.02214317839768 0.018387892404863
"26" "11KDACU8" "Dacu" "Subcanopy" 5.855483333 117.94695 604830.393 647317.8069 604526.354 647257.1219 32 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 110 1 0 1 "0" 0 608.6777 268.5473 143.568886388031 NA NA NA NA 12100.5102364905 0 1.30517169443665 0.0127215288166295
"27" "11KDACU9" "Dacu" "Subcanopy" 5.85545 117.94675 604808.2566 647314.0844 604504.2176 647253.3994 29.24125 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 130 1 0 1 "0" 0 586.5413 264.8248 173.183373248865 NA NA NA NA 16902.4503658863 0 1.33217979422204 0.0136321534687426
"28" "11LDACU1" "Dacu" "Subcanopy" 5.855083333 117.9483833 604989.1529 647273.8521 604685.1139 647213.1671 42 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 90 1 0 0 "0" 0 767.4376 224.5925 125.611464061607 5 14 20 6 8101.62178975149 45 1.39568293401786 0.0137804618700227
